reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1ccd4fb0-9a6b-42cf-8a44-27f3b443941c,Intan Silvia,https://play-lh.googleusercontent.com/a-/ALV-UjUQpFnWQfD499Hc2L1VP3sVNzyXIrVfqqKLIhCjJF2SV2w97scE0Q,ngga bisa masuk,1,1,,2021-07-15 02:15:47,,,
57cbeb1a-b478-4ebb-a042-445973f94bb0,Muhammad Hablul Barri,https://play-lh.googleusercontent.com/a-/ALV-UjXT6bCkZ_TaEbjgIVjhHJDEkHC7EVMRyfCHc_GZqKdD33MLKm6ZnA,"Sya tidak bisa check in dg aplikasi inj. Stelah tekan check out, lgsg kembali kehalam checkin, dg status masih belum checkin",2,7,1.3.2,2021-07-13 01:02:28,,,1.3.2
3365090f-23e1-4181-818c-5d0b2237930c,Muhammad Ilham Nursyawal,https://play-lh.googleusercontent.com/a-/ALV-UjXeuNoRAKwvVee95W2tfceB6DTTxsacPMEWZYWPdRlDQPr96Rtq,"bagus, tp terkadang error",3,3,1.3.2,2021-07-08 00:39:42,,,1.3.2
dac7ffc4-a3e1-43ae-b509-8753d43f32ab,Ibrahim Hanief 619,https://play-lh.googleusercontent.com/a-/ALV-UjXC_Fi8jZQf4R0X6ZE6vWqGWeHN-xwNWww6Zj5kx1b0tr9gnuX7,Sering server error hadehh 😑,2,1,1.3.2,2021-07-06 09:07:18,,,1.3.2
62a1c637-0808-4a53-ab4e-ae1ea696143a,Idzhar Syah Pradhitya,https://play-lh.googleusercontent.com/a-/ALV-UjUVq-zqSSS8tlSaAuiOPAxrB_xAwm2r3uuH98dbR6H9w3T9Oz7u,Telkom University sinergi bangun negeri,5,1,,2021-06-29 11:13:19,,,
0085a75d-894b-49a9-ae16-f6b21808af32,SATRIA AJI,https://play-lh.googleusercontent.com/a/ACg8ocLkc4zuqCnrab-Crr-02VdwlmBrcsoD4LjCDW3e6eMhCacGyQ=mo,"TOLONG DITAMBAHKAN TOP 100 IPK DONG BIAR LEBIH KEREN, JNGN CMN TOP 100 TAK AJA :)",5,2,1.3.1,2021-06-29 05:50:53,,,1.3.1
1547eba2-2eca-4c00-a225-1bc38b9eaf67,Riz,https://play-lh.googleusercontent.com/a-/ALV-UjUvTgnZvuxO4oWnpbGdcv41K9Ggj_srZC1B9k2TurGTur_fqtJP,Okee,5,1,1.3.1,2021-06-29 02:59:23,,,1.3.1
a918f7c2-c919-4322-ba58-572afe4059e6,Ijen,https://play-lh.googleusercontent.com/a/ACg8ocID5xI9U3IB8Tnw2pSMnev_fARSNQ9-0TbiMaw-KVCundpCKA=mo,Keren sekaliiii,5,1,,2021-06-29 02:10:42,,,
81e66bc7-9166-4c61-a931-3a31b32b3bca,Ananda Rizky Saputra,https://play-lh.googleusercontent.com/a-/ALV-UjXLqZr1K03Mai7dPotcGAPjmz9ubTEMEOK6lqbTNm6hKtGYvja8,tidak bisa memasukkan username dan password,2,1,1.3.1,2021-06-28 14:11:22,,,1.3.1
08323920-e0dc-4201-8157-e9128feacca4,Muhammad Naufal,https://play-lh.googleusercontent.com/a/ACg8ocLQLMwnOvquk0QGotrwcXFZ-HApMlUxFeYODMh3tK419df6zSo=mo,sangat baik,5,1,1.2.2,2021-06-28 09:30:31,,,1.2.2
3fb3eaae-fda4-40a0-a3bb-b92fcd34ec9d,Nadia Afifatus Salamah,https://play-lh.googleusercontent.com/a-/ALV-UjVnDHfKSAt_mGYT_8XBXlf9rH8EG6Srw5w5X6VQdtIpcHQa0-zw,"Akses loginnya gk bisa mulu, please dong di perbaiki mau akses igracias jdi susah kudu isi survey dlu :(",3,2,,2021-06-28 05:19:31,,,
1a5d647b-7d93-49f1-983c-545ad27ad2ad,Nancy Crestasia,https://play-lh.googleusercontent.com/a-/ALV-UjVLLpSDPOTole72Z4Kkiggdb-GTrfLVqayvQCIDVey6_FaeskOTvA,"Kenapa saat login password error padahal password yg sudah saya masukkan udah benar. Dan ketika opsi lupa password, gak ada otp yang masuk ke email ataupun nomor hp saya. Bagaimana ini?Thanks!",2,17,1.3.1,2021-06-28 02:41:23,,,1.3.1
0f984008-8f44-4978-ba7d-f7aae5bc9230,Adiyati Nur,https://play-lh.googleusercontent.com/a-/ALV-UjUSCR1xo-qt56oYNNSMEpBVO94ThoLQ2ffbMfD2Twy5QWlXsLyP,Keren,4,1,1.3.1,2021-06-27 22:35:58,,,1.3.1
9d10239d-5efb-4efd-844d-3700fcc6e841,naufal taufiq,https://play-lh.googleusercontent.com/a-/ALV-UjWb7HsgN5PuZNXP4HSxN03jL8mz-SedPnNr-JzGq7QYkE_BoJY,Mantappp,5,1,,2021-06-27 04:51:37,,,
27d8d4cd-0bf4-4459-b714-dddee7fbd512,Nicklaus Anakotta,https://play-lh.googleusercontent.com/a-/ALV-UjUZVWjJh3V-PUMV_giSq7DoeRvCdUNR9Dod_MivVHpH8PupBYrfOQ,"Aplikasi nya sangat keren, lebih detail dan mudah di akses.",5,2,1.3.1,2021-06-27 03:59:13,,,1.3.1
c388f587-77e9-4658-bc72-45eefff20272,Lisyana Damayanti,https://play-lh.googleusercontent.com/a/ACg8ocJcB1mQPXa_P3_lhmd-YulqFzUa7HyZglDHDgAurHFwO7e1Xg=mo,boleh juga,4,1,1.2.3,2021-06-27 00:59:20,,,1.2.3
f4757ae2-43e9-4646-a2da-8238d6f94ca9,Tsapriyo,https://play-lh.googleusercontent.com/a/ACg8ocLbE0rVwG8-n_QuJF7J0YoF3fZ2TT1kkFFRUnkjeWv4VHfiaA=mo,Sinergi bangun negri,4,1,,2021-06-10 17:22:36,,,
438e0ccd-7181-44ac-bbc1-10b371a994b9,Yolanda Natalia Sihite,https://play-lh.googleusercontent.com/a/ACg8ocINXtLfHgJq65sp5ipNK6NAytgbwgap1T5by6r-H3h32FsnOm8=mo,Bagus aplikasinya,5,1,1.2.4,2021-06-10 01:39:44,,,1.2.4
8df62464-d2af-4a81-80c5-d3890721434d,Noor Hudha,https://play-lh.googleusercontent.com/a-/ALV-UjXhYj1LrFnuUWPhr8f_9pfFbztRXNSEwU0jShi1em979WqLhLgg,"Aplikasi ini sangat keren dan membantu saya dalam tugas kuliah, walaupun saya mahasiswa unnes",5,6,1.2.4,2021-06-08 08:12:23,,,1.2.4
